 culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id, blocking_number
,,,,,,,,,,,,,,,
   ind, f,7,20090414, mr, caitlin, matharu, wa, lakelands,3078,32, chauvel street, wirreanda vlge, 04 75997197,1967908,8
,,,,,,,,,,,,,,,
   ara, f,30, , , jye, ameenah, wa, west swan, , , berrigan crescent, , 08 14302010,5188934,7
,,,,,,,,,,,,,,,
   usa, f,31,19850323, ms, alessandra, sanford, nsw, panania,2103,46, rawson street, tigers hill, 2 17761962,9345041,7
,,,,,,,,,,,,,,,
   hun, f,13,20030421, , lachlan-john, csollany, nsw, wakeley,4132,3, tillyard drive, balmoral garden, 612 35390654,9916224,0
,,,,,,,,,,,,,,,
   jew, f,24,19921008, , kaitlin, halevy, nsw, belford,6210,22, marungal avenue, , 2 20840249,9578896,7
,,,,,,,,,,,,,,,
   eng, ,23,19931206, , madison, mckenny, qld, cecil plains,4740,20, john cleland crescent, , 3 35903443,6929178,4
,,,,,,,,,,,,,,,
   chi, m,36,19800601, , madison, chuo, qld, nebine,5268,74, boddington crescent, , 03 00337554,3520275,8
,,,,,,,,,,,,,,,
   eng, m,38,19781009, , savannah, savege, tas, butlers gorge,2540,102, cossington smith crescent, the mall, 617 48258877,5115229,2
,,,,,,,,,,,,,,,
   eng, m,23,19930223, , cooper, winchester, vic, condah,2173,24, barada crescent, , 08 17484951,1292546,3
,,,,,,,,,,,,,,,
   usa, f,31,19850228, mr, jessica, hendrix, , bundanoon,2902,38, alice jackson crescent, , 07 42392045,8613480,1
,,,,,,,,,,,,,,,
   pak, m,27,19890527, ms, ruby, gurshani, vic, matong,2750,23, derrington crescent, , 08 39294630,8670761,9
,,,,,,,,,,,,,,,
   unk, f,35,19810208, mr, hayley, aarts, sa, marleston,3355,4, joyner place, , 7 43896221,8299535,5
,,,,,,,,,,,,,,,
   por, f,33,19830806, pfc, mitchell, barros, nsw, ,5607,5, olney place, berkeley village, 2 41338351,7286068,3
,,,,,,,,,,,,,,,
   ind, f,38,19780614, , griffin, relwani, nsw, cathcart,4121,14, , , 02 07911556,8289589,2
,,,,,,,,,,,,,,,
   dut, f,24, , ms, marcus, elting, nsw, moree,2118,40, fowles street, , 2 25733865,2262124,4
,,,,,,,,,,,,,,,
   unk, f, ,19911216, , michael, streckfuss, vic, wantirna south,6010,101, rosman circuit, mayo, 08 72291965,4670000,4
,,,,,,,,,,,,,,,
   chi, f,30,19860330, , sophie, khoo, qld, electra,4350,89, beetaloo street, st francis village, 03 63254159,4266647,1
,,,,,,,,,,,,,,,
   , m,32,19841109, , luke, mahony, nsw, yass,2131, , mcclintock street, , ,2097134,0
,,,,,,,,,,,,,,,
   chi, f,21,19950601, , lara, woo, wa, jilakin,2099,29, duterrau crescent, , 618 02255495,3225226,8
,,,,,,,,,,,,,,,
   , ,26,19901028, mr, riley, spears, nsw, wallabadah,4034,20, kirwan circuit, , 2 85046410,3551630,8
,,,,,,,,,,,,,,,
   ina, ,33,19830826, , kyle, halim, qld, mount moriah,2913,8, pavonia street, , 3 20082880,4399481,4
,,,,,,,,,,,,,,,
   eng, f,27,19890808, , isabella, ibbott, nsw, lane cove,3135,15, davenport street, , 2 34213328,9723955,9
,,,,,,,,,,,,,,,
   ind, f,33,19830408, , ethan, jeeri, , biggera waters,2176,4, blamey crescent, sec 4096, ,7062096,3
,,,,,,,,,,,,,,,
   tha, f, ,19520404, , annabel, tantasatityanon, vic, coburg,2320,18, undoolya street, jindalee bullagreen, 618 55838779,7823821,6
,,,,,,,,,,,,,,,
   chi, , ,19610804, , harrison, gann, vic, porepunkah,6213,75, meymott place, , 08 02544518,5096617,0
,,,,,,,,,,,,,,,
   eng, f,32, , , michelle, christophers, , conder,5043,12, pocket avenue, kalkee, 08 51511560,1292890,4
,,,,,,,,,,,,,,,
   chi, f, ,19800717, , zane, jia, wa, pinwernying,4069,34, tindall place, inishmore, 8 33528195,3431318,3
,,,,,,,,,,,,,,,
   ger, f,23,19930510, , benjamin, kresch, qld, alexandra headland,3163,239, pullar view, , 04 67956328,7606102,2
,,,,,,,,,,,,,,,
   ita, m,31,19851101, mr, sophie, martinello, nsw, bannerton,4272,97, finniss crescent, caravn park, 2 33633751,3434023,7
,,,,,,,,,,,,,,,
   usa, f,11,20051128, , isobel, bradford, vic, aireys inlet,6108,20, boulton close, rosedale, 8 05095330,4132964,6
,,,,,,,,,,,,,,,
   unk, f,37, , , holly, aaron, sa, clapham,2602,12, jensen place, lakewood estate, 07 32963887,6369992,2
,,,,,,,,,,,,,,,
   unk, , ,19140216, , sophie, strawbridge, nsw, blacktown,2070,73, ferguson circuit, , ,9143031,0
,,,,,,,,,,,,,,,
   , f, ,19420730, , leon, tims, qld, kitoba,3149,57, cherry place, villa 5, 613 24281609,8712311,4
,,,,,,,,,,,,,,,
   ser, f,11,20050523, ms, dylan, lasic, nsw, williamtown,5600,155, barnett close, , 2 71135738,6856715,8
,,,,,,,,,,,,,,,
   eng, f,3,20130422, , charlotte, kyles, , waterloo,3058,65, yuranigh court, , 02 25207518,8093714,7
,,,,,,,,,,,,,,,
   chi, f,25,19911228, , brinley, hsu, nsw, georgetown,3418,32, ipima street, sun city resort, 2 43434859,1542459,6
,,,,,,,,,,,,,,,
   afr, m,30,19860126, mr, samir, milongo, nsw, pyree,2106,125, warrego circuit, , 2 81630734,7240677,2
,,,,,,,,,,,,,,,
   rus, ,25,19910601, , tori, voleikov, vic, warrenheip,2198,16, mackie crescent, rowethorpe, 618 84464077,3714097,2
,,,,,,,,,,,,,,,
   ind, f,23,19930901, , gabrielle, lohi, vic, dreeite,4211,108, templestowe avenue, , 8 21278284,7637494,1
,,,,,,,,,,,,,,,
   usa, f,30,19860914, , joshua, sutton, wa, kenmare,2382,26, howitt street, , 618 36674374,6875313,8
,,,,,,,,,,,,,,,
   fin, ,33,19830704, , samantha, joutsela, qld, chevron island,2571,614, mackerras crescent, , 3 60151628,2899167,9
,,,,,,,,,,,,,,,
   nor, m, ,19890610, mr, rohan, blix, , st james,2650,36, northcott drive, tathra, 03 15788371,3639891,2
,,,,,,,,,,,,,,,
   spa, f,28,19881003, ms, kailey, bolano, act, page,4224,280, esperance street, , 2 35757003,3205693,8
,,,,,,,,,,,,,,,
   unk, ,27,19890105, , amy, scime, nsw, collarenebri,4560,3, amaroo street, , 2 46218240,2999589,0
,,,,,,,,,,,,,,,
   usa, , ,19700612, ms, xavier, frederick, nsw, horsley,2223,8, heaton place, larook, 02 40110941,3858112,1
,,,,,,,,,,,,,,,
   usa, f,36,19800413, , adriana, fung, nsw, peak view,6010,53, jevons place, , 612 92730286,4344073,1
,,,,,,,,,,,,,,,
   pol, f, ,19121124, , ashlie, czajkowski, vic, port adelaide,3072,6, bugden avenue, lazee m, 618 22004778,6690498,2
,,,,,,,,,,,,,,,
   ser, f,29,19870811, mr, emma, barac, qld, harper creek,4505,61, quist place, , 3 75690530,8088681,4
,,,,,,,,,,,,,,,
   afr, , ,19910825, , hollie, mbaye, vic, heywood,5024,58, reibey place, nine pines, 618 78263625,1985177,0
,,,,,,,,,,,,,,,
   eng, m,25,19911012, ms, wilson, deadman, vic, strath creek,6020,5, karney place, , 08 60281612,9555349,1
,,,,,,,,,,,,,,,
   eng, ,30, , , kiara, isaacson, qld, stanwell,2722,28, mcmanus place, , 03 49958751,9103929,9
,,,,,,,,,,,,,,,
   eng, f,23,19930706, , lucy, simonson, vic, keilor downs,4700,14, strangways street, , ,4420688,9
,,,,,,,,,,,,,,,
   wel, f,28,19880312, , katelyn, heaven, qld, kaban,3015,98, gundara street, , ,4738521,0
,,,,,,,,,,,,,,,
   unk, f,29,19870509, , jessica, strapp, nsw, parkville,4304,9, dumas street, , 2 63918493,3355062,2
,,,,,,,,,,,,,,,
   usa, f,19,19970625, dr, peter, moore, sa, flinders park,3666,68, dorrit black crescent, , 617 19598848,5994330,7
,,,,,,,,,,,,,,,
   , ,27,19891024, , taylor-saige, pascoe, sa, aldgate,6103,10, torrens street, burraminga, 617 92341380,3128394,8
,,,,,,,,,,,,,,,
   unk, f,31,19850309, , emiily, scollard, nsw, niagara park,2197,66, kelleway avenue, , 612 97839940,5379807,5
,,,,,,,,,,,,,,,
   unk, f,42, , pfc, chloe, aarts, sa, holden hill,2285,59, aspinall street, , 02 65355789,9584113,7
,,,,,,,,,,,,,,,
   usa, f,23,19931211, ms, jackson, giles, vic, murrumbeena,3207,13, currie crescent, laane coree, 08 55771218,6097180,3
,,,,,,,,,,,,,,,
   eng, f,20,19961201, , chevonne, thomson, vic, amphitheatre,835,10, illingworth street, , 8 84913009,9458898,8
,,,,,,,,,,,,,,,
   eng, m,30,19860419, ms, cheree, neville, vic, hunter,4124,9, tenison-woods circuit, sheep station, 8 39201001,9629675,3
,,,,,,,,,,,,,,,
   fin, f,29,19870308, mr, takara, kaltiainen, wa, cable beach,830,26, zox circuit, , 8 44575650,5553798,4
,,,,,,,,,,,,,,,
   usa, f,26, , , ethan, nielsen, , goonellabah,2756,41, dobinson place, kandahar, 04 86879527,5452095,8
,,,,,,,,,,,,,,,
   usa, m,26,19900730, , liam, petty, nsw, peakhurst,3282,13, denny street, , 612 10793037,1654519,1
,,,,,,,,,,,,,,,
   chi, f, ,19910922, , abbey, chukot, qld, shenton park,2209,26, glass place, rivonia, 03 26665062,5874633,3
,,,,,,,,,,,,,,,
   chi, f, ,19900919, , luke, lwan, vic, tumbulgum,2140,8, biffin street, braeburn, 8 76952060,9726000,4
,,,,,,,,,,,,,,,
   usa, ,26,19900608, , lucy, patterson, wa, kewdale,3155,25, wickham crescent, , 08 87573710,9142062,0
,,,,,,,,,,,,,,,
   nor, ,30,19860401, mr, erin, karlan, qld, marodian,4037,3, garran place, , 3 83458826,4949787,3
,,,,,,,,,,,,,,,
   ger, f,28,19880504, dr, blake, heofle, sa, bridgewater,2232,17, dunlop street, , 07 09415498,1793289,5
,,,,,,,,,,,,,,,
   unk, m,35,19810104, mr, alissa, straw, nsw, booragul,4113,22, maraar place, , 02 16243970,5791038,8
,,,,,,,,,,,,,,,
   ind, ,28,19881219, , kirra, bablani, vic, she oaks,810,3, swinden street, makana station, 8 94088912,8513609,9
,,,,,,,,,,,,,,,
   eng, m,23,19930317, , jack, isaacson, qld, redbank creek,4021,25, daley crescent, , 3 45414832,4282523,0
,,,,,,,,,,,,,,,
   swe, ,19,19970923, , jack, flogard, qld, priestdale,6066,7, fidler court, , 613 30804776,9635509,9
,,,,,,,,,,,,,,,
   usa, f,25,19910713, ms, hannah, patterson, wa, mount stirling,6107,21, dowsley place, professional centre, 618 52480955,9078178,3
,,,,,,,,,,,,,,,
   dut, f,29,19870520, ms, sean, willets, nsw, woolooware,3175, , mceachern crescent, , 612 68034144,4142126,9
,,,,,,,,,,,,,,,
   chi, m, ,19360528, , lara, tann, nsw, maude,4067,5, lee-steere crescent, , 612 19722490,6570179,2
,,,,,,,,,,,,,,,
   eng, m,24,19920324, , amber, coke, vic, boyanup, ,14, clancy street, , 618 23432772,2242857,2
,,,,,,,,,,,,,,,
   usa, f,29,19870507, ms, keahley, slater, nsw, erigolia,4556,4, brereton street, , 02 52917938,2254427,7
,,,,,,,,,,,,,,,
   usa, f,29,19871001, , thomas, robinson, nsw, hebersham,2809,4, hooker street, , 612 79466622,4487618,0
,,,,,,,,,,,,,,,
   usa, m,19,19970412, , finn, anderson, nsw, parramatta,7172,19, kootingal street, , 03 75700030,2803035,7
,,,,,,,,,,,,,,,
   unk, f,35,19811125, ms, kimberley, scogin, nsw, regentville,4018,27, buvelot street, north stirling downs, 612 15103071,3666185,7
,,,,,,,,,,,,,,,
   nor, ,26,19901023, , lauren, klØvstod, qld, windeyer,3518,293, kingsbury street, , 613 11621433,4507233,6
,,,,,,,,,,,,,,,
   eng, f,32,19840520, , dylan, jepson, nsw, blackheath,3020,178, marsden street, , 02 75147637,3423805,4
,,,,,,,,,,,,,,,
   usa, ,31,19851017, , georgia, pickett, nsw, morisset,6160,99, hodgson crescent, , 2 79369774,6535721,4
,,,,,,,,,,,,,,,
   chi, ,30,19860331, , alice, qi, tas, black hills,2905,24, nannine place, house 8, 07 78126166,4902376,7
,,,,,,,,,,,,,,,
   eng, f,26,19900220, dr, james, sutherland, qld, punchs creek,2000,1, hacking crescent, , 3 03250605,8623779,0
,,,,,,,,,,,,,,,
   usa, f,25,19910229, , madeline, ford, nsw, cobargo,3821,86, gawler crescent, kippilaw, ,5929740,5
,,,,,,,,,,,,,,,
   rus, f, ,19930630, , joel, ihrayev, vic, panmure,2206,30, couchman crescent, , 618 84021474,4387787,2
,,,,,,,,,,,,,,,
   usa, f, ,19400518, dr, alexander, horn, , bonnyrigg, ,6, habgood place, , 07 64488816,9786212,8
,,,,,,,,,,,,,,,
   eng, f,23,19931119, mr, caleb, normanson, vic, russells bridge,2137,1, ellenborough street, , 08 47487725,7816401,9
,,,,,,,,,,,,,,,
   eng, f, ,19090110, , mia, derricks, vic, paynesville,2161,69, wargila place, , 618 47997382,8500573,6
,,,,,,,,,,,,,,,
   usa, m,30, , hon, laetitia, dotson, nsw, rodd point,4717,21, macalpine close, , 2 41668009,8187709,6
,,,,,,,,,,,,,,,
   unk, f,27,19891114, pfc, amy, aballon, , cromer,5253,20, mawson drive, , 04 60372986,9472782,1
,,,,,,,,,,,,,,,
   dut, f, ,19300115, , benjamin, delamontagne, wa, glendalough,3101,4, toms crescent, torbanlea, 8 52585176,6156013,4
,,,,,,,,,,,,,,,
   spa, ,7,20090325, , thomas, godoy, tas, irishtown,3228,472, companion crescent, , 7 66232568,5623921,8
,,,,,,,,,,,,,,,
   ind, f,25,19911010, ms, hayden, simha, , wy yung,4119,541, namadgi circuit, meadowvale village, 07 41891759,2169963,9
,,,,,,,,,,,,,,,
   ind, m,28,19880106, , casey, loey, wa, glen iris,2756,23, yolla place, , 02 92740051,1066373,3
,,,,,,,,,,,,,,,
   ser, , ,19380904, , keely, strapovic, wa, duncraig,7248,20, crisp circuit, harriman park, 618 98792769,7123449,8
,,,,,,,,,,,,,,,
   unk, f,26,19900515, , jacob, scottjackson, vic, cranbourne,5019,11, lutana street, red gate, 08 38800123,6305925,6
,,,,,,,,,,,,,,,
   ina, f,33,19830415, ms, , gunawan, vic, ruse,7325,20, airey crescent, kilburnie, 02 82765517,8594631,5
,,,,,,,,,,,,,,,
   chi, f,22,19941219, ms, caitlin, ching, qld, goodna,2428,20, bavin street, , 613 01586642,6243573,5
,,,,,,,,,,,,,,,
   , f, ,19010823, , kyle, ryan, nsw, conargo,2485,460, chewings street, , 612 02250459,5315349,3
,,,,,,,,,,,,,,,
   unk, f,25,19911208, , amy, aarts, vic, ozenkadnook,2550,7, mayne street, , ,3849107,4
,,,,,,,,,,,,,,,
   ara, , ,19360811, ms, elizabeth, jana, vic, wongarra,3228,7, twamley crescent, , 08 49386396,3087923,0
,,,,,,,,,,,,,,,
   eng, m,20,19960414, pfc, jacob, elder, vic, tynong,2075,39, house circuit, , 618 18688046,4169953,7
,,,,,,,,,,,,,,,
   usa, f,24,19920205, , chloe, moody, nsw, murrumbateman,5116,66, wittenoom crescent, , 612 12390145,7644401,0
,,,,,,,,,,,,,,,
   ser, m,36,19800921, , naomi, , nsw, wongarbon,2217,4, jarrahdale street, , 2 39150466,2258768,3
,,,,,,,,,,,,,,,
   eng, , ,19250825, mr, maconal, scrivenor, qld, chorregon,3148,2, campaspe circuit, , 03 92778285,8521307,8
,,,,,,,,,,,,,,,
   unk, ,20,19961213, ms, indiana, scofield, vic, noradjuha,2773,28, brunswick circuit, poppa downs, 8 01794418,7246651,3
,,,,,,,,,,,,,,,
   chi, f, ,19960609, , quinn, tsai, sa, barmera west,2096,9, mundawari circuit, flr 5 john flynn medical centre, 07 76852339,6942679,0
,,,,,,,,,,,,,,,
   eng, m, ,19170129, , zachary, hope, vic, yabba north,3364,46, gleeson place, grandview, 8 17997923,3180033,8
,,,,,,,,,,,,,,,
   jap, f,10,20060913, mr, harriet, oimikado, , east maitland,3101,9, jessup street, gorge creek orchards, 07 25921706,6708950,0
,,,,,,,,,,,,,,,
   eng, ,28,19880618, ms, william, alvey, nsw, kanwal,3939,8, john cleland crescent, salimtal, 2 09336096,2472265,8
,,,,,,,,,,,,,,,
   unk, f,32,19840513, ms, dante, scime, qld, riverview,5159,340, titheradge place, , 3 60079712,7896705,7
,,,,,,,,,,,,,,,
   ind, ,39,19771220, , travis, pushkala, vic, dalyston,6701,15, haskett place, , 618 06471009,9920643,1
,,,,,,,,,,,,,,,
   usa, f,24,19921113, mr, jackson, buchanan, vic, altona,7173,89, jinka street, , 8 43015562,7364253,6
,,,,,,,,,,,,,,,
   usa, ,32,19840622, mr, sam, hodge, nsw, guerilla bay,4560,23, mawson drive, rowethorpe, 612 53805549,4805573,2
,,,,,,,,,,,,,,,
   eng, ,31,19851021, pfc, jack, gabrielson, nsw, clyde,2191,9, southwell street, , 02 06585273,7950668,3
,,,,,,,,,,,,,,,
   eng, f,42,19741007, ms, riley, cock, , mitcham,3214,35, simpson street, , 02 35451740,8632852,2
,,,,,,,,,,,,,,,
   chi, ,41,19750215, , kane, shuang, vic, frankston,2770,84, phillip avenue, , 618 30326006,9162229,2
,,,,,,,,,,,,,,,
   usa, , ,19730405, ms, alana, houston, sa, thorngate,6225,19, samuels crescent, , 617 06494053,2438292,7
,,,,,,,,,,,,,,,
   pol, , , , mr, erin, bocian, , toowoomba,6066,8, , , 04 27223383,6105541,4
,,,,,,,,,,,,,,,
 ind, f,31,19850831, , nicholas, vishwamber, vic, marcus hill,4871,38, currong s treet, indooroopilly shopping centr, 618 06546330,3298706,8
,,,,,,,,,,,,,,,
   eng, f,22,19941008, dr, hannah, mckellar, nsw, palmvale,4159,35, wanderer court, windorah, 2 69062676,4499814,0
,,,,,,,,,,,,,,,
   unk, f,26,19900702, pfc, hannah, scopel, act, mullumbimby,3095,59, amadeus place, , 02 78888738,4185718,3
,,,,,,,,,,,,,,,
   , f,29,19870301, , freya, , , upwey,6168,97, symers street, , 04 38813627,2300097,7
,,,,,,,,,,,,,,,
   usa, m,34, , , samara, alvarado, sa, hoyleton,2228,9, prendergast street, , 07 96736547,6200604,6
,,,,,,,,,,,,,,,
 usa, f,28,19880411, , tara, herrera, vi c, regents park,2611,128, cuthbert circuit, , ,3609640,8
,,,,,,,,,,,,,,,
   unk, f,33,19831028, , , scoby, nsw, waterview heights,5461,275, mckillop circuit, australian swimming head quarter bldg, 03 68940365,2781598,0
,,,,,,,,,,,,,,,
   nor, f,25,19910109, , josephine, hasund, nsw, wyong,4223,26, , , 612 99833954,1702741,4
,,,,,,,,,,,,,,,
   cze, f,10,20060514, , emiily, kucharik, vic, benalla,4225,16, mawson drive, , 8 56340034,4234597,6
,,,,,,,,,,,,,,,
   usa, f, ,19070404, mr, brandon, allen, qld, mudlo,2832,16, fuhrman street, , 3 48103894,6956526,9
,,,,,,,,,,,,,,,
   usa, ,32,19840225, ms, dante, foster, , kellyville,3525,20, alleyne close, , 02 69621586,5189073,3
,,,,,,,,,,,,,,,
   unk, f,36,19800630, , cameron, scoby, nsw, jamberoo,3199,11, ballard place, murray vale murray valley, 612 11263791,5698615,5
,,,,,,,,,,,,,,,
   usa, f,9,20070227, , natassia, goodwin, nt, adelaide river,4350,23, abernethy street, , 613 74088500,4884273,1
,,,,,,,,,,,,,,,
   nor, f,27,19890904, ms, bailey, edvardsen, nsw, manilla,2206,5, anzac park, , 612 68090906,2770022,7
,,,,,,,,,,,,,,,
   ara, ,21,19950815, , samantha, nadirah, , marsden,4825,103, truganini place, , 07 10596175,1685469,5
,,,,,,,,,,,,,,,
   , f,26,19901023, , louis, dudgeon, wa, halls creek,3153,21, jeffcott place, , 08 55035497,4312675,8
,,,,,,,,,,,,,,,
   eng, f,28,19881231, ms, samantha, shelby, nsw, freemans reach,4350,22, beasley street, , 2 61060429,6252828,6
,,,,,,,,,,,,,,,
   unk, f, ,19540401, , samuel, aarcy, qld, ringwood,2095,48, d'hage court, , 613 16753278,2796348,2
,,,,,,,,,,,,,,,
   unk, f,26,19900923, ms, hugh, scofield, vic, speed,7000,11, bellinger circuit, edellen, 08 35920916,9956891,6
,,,,,,,,,,,,,,,
   , f,12,20041205, ms, alana, feleppa, sa, kingston park,5022,20, janga place, , 617 27517820,6421415,1
,,,,,,,,,,,,,,,
   usa, f,28,19881007, , latham, shepherd, vic, dingee,5167,29, connelly place, pine dale, 8 47880176,4078869,6
,,,,,,,,,,,,,,,
   usa, f, , , pfc, max, sanchez, vic, melton,5117,200, elanora place, kangaroo creek, 08 52073505,9731837,0
,,,,,,,,,,,,,,,
   eng, ,25,19910517, , emiily, michaels, wa, solus,2904,3, vansittart crescent, lindoran, 02 81656308,3733659,1
,,,,,,,,,,,,,,,
   usa, ,8,20080611, , hayden, vinson, nsw, furracabad,2164,147, wollaston place, philip centre, 2 93109748,9475534,4
,,,,,,,,,,,,,,,
   chi, f, ,19630416, , cooper, haam, , duncraig,4507,7, rene street, cranham, 03 85803351,1024706,3
,,,,,,,,,,,,,,,
   usa, m,31,19850525, , callum, durham, vic, spotswood,2463,1, mccombie street, peppertree, 8 92313891,7613402,6
,,,,,,,,,,,,,,,
   eng, f,26,19900727, ms, noah, snyders, wa, st ronans,4507,66, nagara street, mena vista, 08 64004691,4882846,3
,,,,,,,,,,,,,,,
   jew, f, ,19310223, mr, hayden, kempinski, nsw, baldry,3031,7, shepherd street, tochra, 07 41744806,8896104,1
,,,,,,,,,,,,,,,
   unk, ,26, , , naomi, scinto, nsw, seal rocks,2439,61, magennis place, bay city plaza, 2 25323359,3474251,2
,,,,,,,,,,,,,,,
   chi, f, ,19490911, lgt, jessica, , qld, nudgee,5065,98, torrens street, , 613 91975948,8094151,1
,,,,,,,,,,,,,,,
   chi, f, , , , eva, kao, tas, wynyard,4285,10, carpenter close, , 07 01796330,7045133,7
,,,,,,,,,,,,,,,
   , f, ,19430105, , ellie, moustos, vic, barunah park,7250,12, o'connell street, , 07 87670176,2501710,3
,,,,,,,,,,,,,,,
   ind, f,22,19940722, , matthew, rangnekar, nsw, bakers creek,6082,55, palmer street, , 612 20870903,8341925,9
,,,,,,,,,,,,,,,
   unk, f,24,19920505, dr, taylor, aarcy, qld, walloon,3199,46, scott street, granny flat road, 613 79765222,3741109,5
,,,,,,,,,,,,,,,
   eng, ,27,19890721, , larissa, grey, qld, margate beach,4060,23, scarlett street, , 613 77200941,9939356,1
,,,,,,,,,,,,,,,
   unk, f,29,19870807, , jemma, scime, vic, elmhurst,7320,7, chauncy crescent, , 618 81926106,5824803,6
,,,,,,,,,,,,,,,
   unk, f,34,19821210, , juliana, scorsone, wa, kordabup,3109,6, dalley crescent, indra, 8 96404548,2089352,2
,,,,,,,,,,,,,,,
   ind, m,41,19750704, , thomas, nirupama, qld, burleigh heads,3465,30, marlee place, , 3 05787523,4409720,1
,,,,,,,,,,,,,,,
   unk, ,35,19810430, ms, jake, strawbridge, vic, strathfieldsaye,2340,5, parkhill street, mannibadar, 618 58057867,2918957,9
,,,,,,,,,,,,,,,
   ser, f,37,19790307, dr, jack, , , ,3046,230, andamooka street, , 03 58641187,8494946,6
,,,,,,,,,,,,,,,
   eng, m, ,19690412, , kane, mcneill, tas, swansea,4305,6, , , 617 94659888,7120376,3
,,,,,,,,,,,,,,,
   pak, , ,19450525, , magnus, guilani, nsw, pillar valley,2820,23, waramanga place, killanoola, 2 63893669,4117296,4
,,,,,,,,,,,,,,,
   eng, f,28,19880212, , megan, morriss, qld, tallebudgera valley,3058,147, clement place, , 3 61287000,2561679,2
,,,,,,,,,,,,,,,
   chi, f,32,19840101, , joshua, pong, vic, yanac,2539,59, carpenter close, , 04 29340160,2703584,8
,,,,,,,,,,,,,,,
   chi, f,34,19820413, , brooke, keng, , broadford,2486,6, mentone view, , 02 75799895,7328012,4
,,,,,,,,,,,,,,,
   iri, f,30,19860201, , alex, quinlan, vic, wantirna south,3825,34, yantara street, , 8 54503945,8162110,3
,,,,,,,,,,,,,,,
   ind, f, ,19590613, , leah, sundrani, vic, boisdale,4133,20, smeaton circuit, , 618 74292935,2842245,9
,,,,,,,,,,,,,,,
   usa, f,35,19810103, , peter, eaton, wa, denbarker,6530,7, rowallan place, marion grove retirement vlge, 8 34142519,9101229,6
,,,,,,,,,,,,,,,
   tha, , ,19730818, , arabella, chutimant, tas, ridgley,3028,69, dyurra place, talooby, 07 54351129,3346966,1
,,,,,,,,,,,,,,,
   unk, f,10,20060919, , emiily, aaternir, , hoppers crossing,2484,184, harper street, , 03 61671182,4515357,4
,,,,,,,,,,,,,,,
   eng, , ,19400303, , christian, derrickson, wa, mills lake,2427,63, coombe street, dusty corner, 08 79581664,8898712,9
,,,,,,,,,,,,,,,
   usa, f,31,19851010, , dylan, potts, nsw, ashbury,5086,33, macarthur avenue, house 8, 612 57603330,1049574,6
,,,,,,,,,,,,,,,
   hun, ,32,19840616, dr, heather, zsivozky, wa, henderson,4301,39, bagshaw place, dockside marina b, ,9783379,1
,,,,,,,,,,,,,,,
   eng, f,29,19870206, , oliver, christianson, nsw, batehaven,2250,622, duffus place, , 2 89510996,4743519,9
,,,,,,,,,,,,,,,
   unk, , ,19581104, mr, courtney, aaberg, nsw, shell cove,3054,584, sherwood garden, , 02 92665314,5826625,4
,,,,,,,,,,,,,,,
   chi, f,35,19810223, , benjamin, kuk, vic, mitre,2148,13, anne clark avenue, , 08 56487856,1341762,5
,,,,,,,,,,,,,,,
   usa, f, ,19971123, mr, jessica, klein, wa, bodallin,2753,7, mcclaughry place, , 8 17887682,2202237,3
,,,,,,,,,,,,,,,
   eng, f,20,19961206, , larissa, mclain, nsw, kelvin,2211,18, stockdale street, , 612 67048867,2184898,0
,,,,,,,,,,,,,,,
   usa, f,38,19780701, , talia, galloway, vic, preston south,2170,1, parkin street, , 08 41465530,6116273,8
,,,,,,,,,,,,,,,
   unk, m, ,19580211, ms, phoenix, aarcy, vic, lawloit,3805,21, spigl street, ferndale, 618 10671152,1415208,2
,,,,,,,,,,,,,,,
   unk, f,25,19911211, , todd, aani, sa, seaford heights,2460,22, newman morris circuit, , 07 87583389,5181410,6
,,,,,,,,,,,,,,,
   usa, f,36,19800618, ms, tommy, bowen, wa, thomson brook,4116,42, morrison street, , 07 41280039,2940105,7
,,,,,,,,,,,,,,,
   ger, m,31,19850314, , brett, dankers, act, australian national university,6450, , beasley street, , 07 88961496,9317677,8
,,,,,,,,,,,,,,,
   ser, f,30,19860404, mr, joshua, rebaca, vic, broadwater,3796,8, snowgum road, , 08 83149605,6636323,0
,,,,,,,,,,,,,,,
   tur, f,29,19870220, ms, liam, tarik, vic, marnoo,2620,64, tuckey place, , 08 51197517,1107819,2
,,,,,,,,,,,,,,,
   eng, f,24,19921217, dr, mackinley, gardyner, vic, moonah west,3168,16, spigl street, , 8 19865730,7463115,4
,,,,,,,,,,,,,,,
   eng, f,28,19881205, dr, wilson, adam, nsw, forresters beach,2145,17, mcclure street, , 2 95610368,1737415,8
,,,,,,,,,,,,,,,
   eng, f,26,19901125, , luke, royce, nsw, ringwood,5608,53, macquarie street, , 2 97333002,9541957,4
,,,,,,,,,,,,,,,
   unk, f,20,19960711, ms, tara, scofield, vic, cranbourne east,5453,84, nanda place, jamieson house, 618 83635747,2682324,6
,,,,,,,,,,,,,,,
   usa, f,40,19760429, , sophie, brady, vic, tankerton,7170,4, leahy close, thomond, 08 58841155,5641577,1
,,,,,,,,,,,,,,,
   usa, f,25,19910507, , rebecca, shelton, sa, south brighton,3315,66, willcock place, , 617 35014975,9852229,7
,,,,,,,,,,,,,,,
   chi, f,34,19820822, , mackenzi, na, , kingston,4350,7, ironside street, little forest, 08 97941123,2902475,4
,,,,,,,,,,,,,,,
