 culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id
,,,,,,,,,,,,,,
   usa, f,23,19930821, dr, daniel, , vic, golden square,3142,71, denovan circuit, , 8 94434568,4152524
,,,,,,,,,,,,,,
   ger, f,32,19840721, , tristan, weiner, qld, rangemore,3152,752, la perouse street, , 3 49253583,2661507
,,,,,,,,,,,,,,
   unk, f,31,19850903, , kristo, scogin, nsw, hazelwood park,2327,146, ebeling court, , 2 37713661,8218654
,,,,,,,,,,,,,,
   eng, f,25,19910221, ms, jade, fraser, vic, duverney, ,5, malindi place, , 8 47308420,8907610
,,,,,,,,,,,,,,
   usa, f, ,19680422, , mitchell, drake, wa, tom price,3064,24, glenmaggie street, , 04 06905155,7731372
,,,,,,,,,,,,,,
   unk, f,33,19830616, hon, joshua, strehovski, sa, mount barker,2097,17, dandenong court, , 7 31694415,6090442
,,,,,,,,,,,,,,
   unk, f,35,19810713, , beau, scirri, vic, toolern vale,5268,33, forsythe street, wearmouth, 08 51810990,4456670
,,,,,,,,,,,,,,
   ind, ,29,19870804, , kiana, mayekar, nsw, scarborough,6057,315, medley street, , 2 49397947,2411218
,,,,,,,,,,,,,,
   unk, f,20,19960918, ms, jeremiah, strahn, nsw, crabbes creek,3043,128, oxley street, , 04 45671498,7428425
,,,,,,,,,,,,,,
   dan, f,10,20060407, , lucy, zoega, nsw, williamtown raaf,5081,65, blamey crescent, , 2 22819454,7724798
,,,,,,,,,,,,,,
   , f, ,19780615, , jarrod, white, sa, warrachie,4220,9, arndell street, , 7 96436335,5987824
,,,,,,,,,,,,,,
   unk, f,29,19871219, , sidonie, scogin, sa, noarlunga centre,3095,4, sheehy street, , 617 35277638,8597350
,,,,,,,,,,,,,,
   eng, f, , , ms, riley, haroldson, qld, belvedere,7004, , keats place, , 03 76884024,8858742
,,,,,,,,,,,,,,
   usa, f,32,19841216, ms, yasmin, wynn, qld, sunnyside,2010,9, herman close, , 3 64764024,7022407
,,,,,,,,,,,,,,
   usa, m,31,19850221, , michael, foley, nsw, brundee,7117,20, bunbury street, inverneath, 612 62387994,3022644
,,,,,,,,,,,,,,
   usa, m, ,19930325, , molly, david, sa, stepney,2530,131, nullagine street, rosetta village, 07 81604432,9516304
,,,,,,,,,,,,,,
   usa, f,21,19950423, mr, madison, goodwin, wa, redgate,3019,103, fleetwood smith street, unt 2, 618 41942267,4820148
,,,,,,,,,,,,,,
   unk, , ,19020602, mr, daniella, abbatista, qld, fitzgerald creek,2500,115, knox street, , 03 73751861,1820160
,,,,,,,,,,,,,,
   eng, m,13,20030226, , angus, pound, qld, wrights creek,2031,21, chauncy crescent, , 3 86813705,4635871
,,,,,,,,,,,,,,
   , f, ,19250221, , luke, cochrane, nsw, baraimal,7000, , allambee street, , 2 39333212,3206917
,,,,,,,,,,,,,,
   ser, ,39,19770226, , shai, crnogorac, nsw, enoggera,2218,51, farrer street, blue hills, 612 74954427,6018569
,,,,,,,,,,,,,,
   unk, , ,19521029, ms, alexander, scoby, , armidale,2152,21, , birkenau, 08 55664774,8746275
,,,,,,,,,,,,,,
   unk, f,34,19820604, , jarryd, aaternir, nsw, koolewong,2144,94, elsey street, , 07 18503164,7400262
,,,,,,,,,,,,,,
   chi, m,10,20060308, , sophie, liang, qld, new chum,2153,2, rich street, belgrave, 03 60002309,3803469
,,,,,,,,,,,,,,
   unk, f,28,19880227, , emiily, scjum, , hinchinbrook,3131,52, durack street, , 08 71014213,5790663
,,,,,,,,,,,,,,
   eng, f,32,19841012, , katelyn, dickenson, vic, wantirna,3138,77, lawrence crescent, taramayne, 8 32962462,8465369
,,,,,,,,,,,,,,
   eng, f,43,19731202, , paige, speight, , broome,2615,20, maribyrnong avenue, sunsbury, 04 61094119,6266722
,,,,,,,,,,,,,,
   eng, f,29,19870204, , campbell, oliverson, vic, toorak,2611,20, ogilby crescent, , 08 62045798,3100552
,,,,,,,,,,,,,,
   usa, f,29,19871016, , cameron, webster, nsw, morpeth,2232,8, , , 2 43968389,6758000
,,,,,,,,,,,,,,
   unk, f,35,19810618, , alessandra, aballon, wa, porongurup,4221,12, wakool circuit, ironbark lodge, 08 84535128,7549874
,,,,,,,,,,,,,,
   eng, m,29,19870408, , emma, traver, nsw, bogan gate,5290,9, eldridge street, , 612 61592323,7914588
,,,,,,,,,,,,,,
   ind, f,34,19820920, , lachlan, nahid, wa, heathridge,4740,2, goodparla street, , 8 52360802,4276858
,,,,,,,,,,,,,,
   ind, f,32, , , katelyn, manjrekar, vic, picola,5073,54, franks place, , 08 08862316,2723548
,,,,,,,,,,,,,,
   chi, m,35,19810624, mr, courtney, jou, nsw, wallacia,6112,72, trainer court, peroomba, 02 10575857,1351389
,,,,,,,,,,,,,,
   unk, f, ,19671001, mr, alexander, strawbridge, vic, boorhaman north,3305,24, shearer place, glenview, 8 23244748,2709129
,,,,,,,,,,,,,,
 unk, f,23, , , eldon, strangway, nsw, urisino,3051,8, house circuit, the meadows, ,7416339
,,,,,,,,,,,,,,
   usa, f,35,19811210, ms, jamie, cantu, , casuarina,2020,9, costello circuit, wollartukkee, 07 07916734,9424080
,,,,,,,,,,,,,,
   dan, f, ,19191018, , caleb, rieper, nsw, edgeworth,3971,53, glover street, , 02 62502642,5856903
,,,,,,,,,,,,,,
   usa, f,25,19910227, hon, kyle, maynard, nsw, peakhurst heights,4871,126, macdonnell street, , 02 37483321,5440051
,,,,,,,,,,,,,,
   eng, f,37,19790124, , april, daniell, qld, minnamoolka,5162,40, gooreen street, banksia village, 3 71597520,1752726
,,,,,,,,,,,,,,
   eng, m,10,20061003, , zali, bennet, vic, caramut,3132,41, alderman street, , 08 48698620,4989512
,,,,,,,,,,,,,,
   eng, f,41,19750629, ms, harry, gabrielson, vic, caulfield south,4814,230, wirraway crescent, , 08 66368867,5246325
,,,,,,,,,,,,,,
   eng, f,27,19891209, , , earlson, nsw, st kilda,3550,16, weetangera shopping centre, , 02 23861046,4564426
,,,,,,,,,,,,,,
   eng, f, ,19980502, , imogen, gardyner, qld, kunioon,3060,1, badimara street, corowa estate, 613 67242074,1176328
,,,,,,,,,,,,,,
   unk, f,28,19880725, , emma, scjum, qld, cooroy mountain,2095,3, bimberi crescent, , 03 43081099,3759847
,,,,,,,,,,,,,,
   unk, f,30,19860708, , courtney, abat, wa, byford,3844,21, tauss place, john flynn medical centre, 618 55288077,5315575
,,,,,,,,,,,,,,
   usa, , ,19030326, mr, deakin, holman, nsw, werrington downs,5041,41, dalton place, , 02 88871318,7632559
,,,,,,,,,,,,,,
   unk, f,22, , hon, sophie, scopel, nsw, dawesville,3006,265, gymkhana road, yatcha, ,6273764
,,,,,,,,,,,,,,
   ind, f,27,19890110, , ethan, venkatesan, nsw, yarramalong,4557,37, darwinia terrace, meadows estate, 02 83322582,1837280
,,,,,,,,,,,,,,
   usa, m,35,19810603, , zara, joyner, sa, wirrulla,3021,65, masson street, , 617 11574075,1178633
,,,,,,,,,,,,,,
   vie, f,29,19871025, , evangelia, thu, vic, wyndham vale,2576,172, the pines avenue, , 8 73897007,5140047
,,,,,,,,,,,,,,
   abo, f, ,19690308, ms, , tapai, qld, sandy camp,4102,28, dunbar street, salmaldo caravan park, 613 15688528,1812190
,,,,,,,,,,,,,,
   cze, ,23,19930920, ms, ella, luxa, qld, coppabella,2135,35, novar street, , 3 44472169,1223536
,,,,,,,,,,,,,,
   spa, m,31,19850714, , kayden, galn, nsw, lawson,4211, , noarlunga crescent, the gums, 2 36319381,5954452
,,,,,,,,,,,,,,
   usa, f,43,19730731, , chloe, trevino, vic, red hill south,2627,23, toona place, , ,4276862
,,,,,,,,,,,,,,
   ina, f, ,19811013, , barnaby, budiman, nsw, gundaroo,6155,14, waddell place, redwood village, 02 99091587,7364365
,,,,,,,,,,,,,,
   usa, m,33,19830509, mr, daniel, fisher, nsw, eumungerie,2560,12, gairdner circuit, , 02 15647237,1935371
,,,,,,,,,,,,,,
   ger, m,29,19870809, , emiily, hammes, nsw, burwood heights,3842,35, dexter street, , 2 50389655,7447789
,,,,,,,,,,,,,,
   unk, m,28,19880502, , brooklyn, streckfuss, , colo vale,2069,21, matina street, , 03 31049336,7215399
,,,,,,,,,,,,,,
   eng, f,28,19880819, , jake, victorson, , millfield,5211,100, kinsella street, , 02 13251643,9309140
,,,,,,,,,,,,,,
   ind, ,30,19860508, mr, aikaterina, menghani, , clayton,3579,35, shakespeare crescent, , 02 49390032,7042054
,,,,,,,,,,,,,,
   fin, f,31,19850923, ms, tori, hollo, qld, parkside,2539,8, olliff place, mayflower retrmnt vlge, 02 86384590,7726626
,,,,,,,,,,,,,,
   eng, f,11,20051110, , catherine, samuel, vic, dadswells bridge,2322,13, bainton crescent, , 8 30896514,4631039
,,,,,,,,,,,,,,
   unk, ,26, , , bryce, strangway, nsw, fairlight,6530,79, frome street, carrington garden, 612 72183952,7813519
,,,,,,,,,,,,,,
   eng, f, ,19160601, , brodie, hutson, nsw, rose bay,2321,32, tarrabool street, , 02 19021830,2540183
,,,,,,,,,,,,,,
   eng, f,7,20090227, , ellouise, scrivenor, nsw, waverley,2075,376, sheehy street, the manor garden, 07 05430347,9999575
,,,,,,,,,,,,,,
   ind, ,25,19910906, , dakota, mallya, vic, laverton south,6057,231, allawah flats, , 8 24846360,3271539
,,,,,,,,,,,,,,
   eng, f,20, , , ty, haward, nt, yuendumu,6426,4, gosman close, , 613 96364081,6392804
,,,,,,,,,,,,,,
   eng, f, ,19240411, dr, nikita, archer, , albany creek,6168,10, catchpole street, , 02 92592777,3243400
,,,,,,,,,,,,,,
   eng, f,26, , , amalia, winter, sa, monarto south,4068,4604, cumbrae place, , 07 55061738,2333320
,,,,,,,,,,,,,,
   ger, ,28,19880505, , louise, humbert, vic, edithvale,2079,160, auburn street, pepinmarti, 618 65408664,6923131
,,,,,,,,,,,,,,
   eng, f,25,19910803, ms, jessica, trevis, qld, south stradbroke,2770,3, bonrook street, , 613 15850297,7633486
,,,,,,,,,,,,,,
   pol, f,28,19881223, dr, daniel, borowska, vic, broadmeadows,6151,40, toolambi street, , 618 12891177,1395421
,,,,,,,,,,,,,,
   usa, f,38,19780711, ms, braedon, hampton, nsw, inglewood,7026,14, alice jackson crescent, , 03 24779975,1141693
,,,,,,,,,,,,,,
   eng, f,22,19941201, dr, jordan, wortham, nsw, orange,3912,14, rivett street, the stockyards, 02 64993506,8187890
,,,,,,,,,,,,,,
   usa, f,30,19861201, ms, benjamin, kirkland, qld, upper kedron,4650,2, blacket street, thousand hills, 07 36233526,5498060
,,,,,,,,,,,,,,
   unk, f,10,20061017, mr, nikita, abbitt, qld, maudsland,6100,56, wyselaskie circuit, , 03 86912463,5359069
,,,,,,,,,,,,,,
   fin, f, ,19380916, , noah, , nsw, quorrobolong,6003,10, hardwick crescent, , 02 46572173,8679513
,,,,,,,,,,,,,,
   unk, , ,19220103, , thomas, scollard, qld, molangul,3196,8, oliver street, argyl square, 03 95855255,4547102
,,,,,,,,,,,,,,
   unk, f,36,19800826, , nasyah, scime, wa, glen forrest,2750,6, hannan crescent, ferncliff, 8 29757040,5615068
,,,,,,,,,,,,,,
   eng, ,27,19890309, pfc, mason, nathans, sa, vista,3196,5, slessor crescent, , 07 72279317,2791378
,,,,,,,,,,,,,,
   usa, m, ,19090522, , jesse, talley, nsw, edgeroi,4160,3, mckail crescent, berkeley vlge, 612 00467351,6654121
,,,,,,,,,,,,,,
   eng, , ,19491004, , sarah, jepson, , east fremantle,4113,5, macrobertson street, , 03 02240679,4806737
,,,,,,,,,,,,,,
   ger, f,13, , , marcus, baumann, tas, tulendeena,3064,11, ellerston avenue, , 7 08251059,5503164
,,,,,,,,,,,,,,
   , ,42, , , jacob, sharpless, qld, pampas,4116,15, throssell street, , 04 49965802,7451399
,,,,,,,,,,,,,,
   chi, f,30,19860408, , alexandra, si, nsw, san remo,7009,130, fristrom crescent, , 04 52827183,9463964
,,,,,,,,,,,,,,
   usa, f, ,19640516, dr, madalyn, carlson, qld, burleigh,2429,5, gruner street, ellerslee, 03 01196144,6328715
,,,,,,,,,,,,,,
   unk, f,25,19910219, dr, brendan, scottjackson, vic, alberton,2527,21, davenport street, , 8 89301132,3364553
,,,,,,,,,,,,,,
   unk, f, ,19700912, , matthew, strazzari, nsw, hernani,3805,35, icely place, , 2 87148141,4759949
,,,,,,,,,,,,,,
   eng, ,33,19830702, , joel, harrelson, vic, orange,6215,127, howitt street, , 8 99987641,6025484
,,,,,,,,,,,,,,
   unk, m,20, , mr, laura, aakre, vic, glenfyne,2108,33, jerramlee, hemco park, 04 92111868,5306610
,,,,,,,,,,,,,,
   chi, ,26,19900603, , demie, lau, vic, dandenong north,2454,66, tauss place, , 618 54335975,5574799
,,,,,,,,,,,,,,
   eng, f,21,19950509, ms, lucas, christison, nsw, uki,5081,28, ainsworth street, , ,5074307
,,,,,,,,,,,,,,
   ger, f,30,19860530, ms, olivia, kowarsch, nsw, henley,3060,8, goodchild street, rangeville, 02 00561143,4685522
,,,,,,,,,,,,,,
   ind, f,28,19880531, ms, cooper, pauravi, nsw, charlestown,5045,24, pohlman street, keysborough, 02 00782583,2534453
,,,,,,,,,,,,,,
   ind, ,28,19880717, , nicholas, vasumati, nsw, chittaway point,5211,15, hugh mckay crescent, mountain views, 02 53939839,7453524
,,,,,,,,,,,,,,
   swe, ,8,20080823, ms, jesse, segerstam, nsw, mount gravatt,2261,68, , villa 18, 02 79252452,7876306
,,,,,,,,,,,,,,
   eng, , ,19241112, , seth, savege, wa, changerup,6015,15, hugh mckay crescent, stephens creek, 8 50993148,9160244
,,,,,,,,,,,,,,
   nor, , ,19721123, , thomas, jagge, , clergate,4101,42, drevermann street, , 08 83388281,2522180
,,,,,,,,,,,,,,
   afg, ,24,19920914, ms, joshua, tokhi, sa, woodforde,7315,39, elkedra close, utopia, 7 16762551,1708811
,,,,,,,,,,,,,,
   usa, m,20,19961205, , kirra, park, nsw, dundurrabin,3218,8, gillespie street, , 08 69404688,5424703
,,,,,,,,,,,,,,
   usa, f,30,19861108, mr, tarnia, cunningham, vic, banyule,4561,131, stopford crescent, , 8 06163061,4654530
,,,,,,,,,,,,,,
   unk, ,34,19821012, , alexander, stratou, qld, boynedale,3071,103, adams place, , 3 63378536,8540744
,,,,,,,,,,,,,,
   pak, ,32,19840925, mr, portia, muhammad, vic, guys forest,2206,8, hakea crescent, locn 8774, 8 78032554,4104972
,,,,,,,,,,,,,,
   gre, ,33,19830506, , jake, tsakiri, nsw, carlton,2092,10, denny street, , 02 93068814,1274560
,,,,,,,,,,,,,,
   , ,28,19880619, ms, alia, ryan, qld, warroo,2730,2, leven street, , 613 45929051,4984522
,,,,,,,,,,,,,,
   unk, f, ,19341218, , jesse, streich, qld, thornville,3568,7, heagney crescent, , 613 03485965,8700954
,,,,,,,,,,,,,,
   eng, f,10,20060226, , chloe, proudfoot, vic, keysborough,2031,7, betts place, , 8 02929578,1445888
,,,,,,,,,,,,,,
   ind, f,39,19771006, mr, sam, sudhindranath, vic, eltham north,2230,5, fidge street, , 08 11295459,4684988
,,,,,,,,,,,,,,
   cze, m,26, , , tarnia, relovsky, qld, cedar grove,3141,47, newbery crescent, , 613 32389714,2993431
,,,,,,,,,,,,,,
   unk, f,22,19940401, , shanaye, sciacca, , new town,2118,20, clement place, , 02 26187307,4469450
,,,,,,,,,,,,,,
   ira, ,26,19900314, hon, jessica, hossein, , salisbury,2036,32, dumaresq street, eventide homes, 04 98388755,3367117
,,,,,,,,,,,,,,
   ita, m,27,19890716, sgt, molly, bonauiti, nsw, hannam vale,4078,34, kavel street, , 02 37078031,5206179
,,,,,,,,,,,,,,
   dut, m, ,19230920, hon, jazz, wakelin, tas, mawbanna,2026,80, namatjira drive, minora cotge, 07 74340469,5408537
,,,,,,,,,,,,,,
   usa, m,29,19870907, , jayden, mathis, vic, stonyford,3824,136, davis street, , ,4181421
,,,,,,,,,,,,,,
   chi, , ,19331013, , matthew, jo, wa, hay point,2480,999, keverstone circuit, , 8 12227086,2641166
,,,,,,,,,,,,,,
   rom, f,31,19850506, , flynn, selezeanu, wa, karakin,4670,26, de graaff place, , 08 55991858,4650786
,,,,,,,,,,,,,,
   usa, m,24,19921207, mr, amy, osborne, wa, donnybrook,6102,5, clem hill street, roseglen, 08 53216995,1054727
,,,,,,,,,,,,,,
   cze, f,27,19891209, mr, isabella, kwiatkowski, qld, mutarnee,2032,1, terewah circuit, , 613 81172669,1437392
,,,,,,,,,,,,,,
   unk, f,38,19781214, , eliza, strazzari, , melville,2612,4, rule street, , 02 19373072,8145922
,,,,,,,,,,,,,,
   eng, ,35,19810215, mr, emiily, badcoke, vic, heyfield,2913,3, herschell circuit, brentwood vlge, 618 69238494,1551199
,,,,,,,,,,,,,,
   usa, m, ,19960426, , emma, bonner, sa, hayborough,4178,110, watchorn close, , 02 41454644,8520789
,,,,,,,,,,,,,,
   , m, ,19991012, , nicholas, thrussell, vic, wodonga,2093,4, ijong street, , 08 27996286,1069290
,,,,,,,,,,,,,,
   ger, f,22,19941107, hon, aidan, senglin, vic, avenel,3799,75, william hudson crescent, , 08 53282781,8407097
,,,,,,,,,,,,,,
   eng, ,31,19850110, ms, james, smythe, nsw, dunoon,3056,3, grout place, evenstar, ,7193283
,,,,,,,,,,,,,,
   eng, f,22,19940622, , alexandra, macdougall, , canterbury,2161,15, , , 03 22409344,5045355
,,,,,,,,,,,,,,
   usa, f,39,19770523, hon, keeley, carpenter, nsw, boat harbour,3550,2, marou place, , 02 51197208,9133676
,,,,,,,,,,,,,,
   eng, f,26,19901223, ms, marianne, ibbot, qld, njatjan,3130,83, shara place, allandale, 03 55506574,7652722
,,,,,,,,,,,,,,
   usa, f,10,20061211, , michael, rios, qld, crohamhurst,5162,12, riordan street, springdale, 03 79373071,3415488
,,,,,,,,,,,,,,
   eng, f,27,19890322, mr, aiden, michaelson, qld, mountain creek,3030,90, officer crescent, , 03 42283481,5010212
,,,,,,,,,,,,,,
   sri, f,31,19850412, , reuben, ratwatte?, nsw, south nowra,4226,3, hedley street, , 2 02951786,9746607
,,,,,,,,,,,,,,
   pak, ,25,19911230, ms, joanna, lakho, vic, lavers hill,3551,48, cromwell circuit, , 8 97888196,7943367
,,,,,,,,,,,,,,
   pak, f,28,19880808, , nathan, siddiqi, nsw, stanhope gardens,6112,110, baume crescent, toomba, 2 97409913,5120617
,,,,,,,,,,,,,,
   unk, f,35,19810915, , george, abbondandola, vic, taylors hill,4701,14, cockburn street, colomie, 02 56064281,8622387
,,,,,,,,,,,,,,
   rus, f,32,19841222, , matthew, grindenko, sa, grange,4565,36, conner close, sunewood, 07 64703760,3492524
,,,,,,,,,,,,,,
   unk, , ,19980710, , benjamin, schwanke, nsw, strathfield south,4122,85, alphard place, colonial cvan park, 612 52938225,6299945
,,,,,,,,,,,,,,
   chi, ,30,19860103, , joshua, jyang, vic, werribee,3153,93, companion crescent, athlone, 08 84748925,1102013
,,,,,,,,,,,,,,
   usa, f,10,20061009, , alexander, davenport, vic, mollongghip,3044,67, myles close, , 8 81955566,3640424
,,,,,,,,,,,,,,
   dan, f,26, , , james, greve, vic, barkers creek,4872,151, stobie place, , ,6158515
,,,,,,,,,,,,,,
   usa, ,28,19880119, , chantelle, meadows, sa, glenalta,4124,7, faulkner place, st john of god hospital, 617 62287037,4115591
,,,,,,,,,,,,,,
   usa, f,35,19810302, , jassim, lopez, nsw, wongawilli,2263,14, grevillea street, , 612 37706791,7558214
,,,,,,,,,,,,,,
   usa, m,34,19820924, , , arnold, sa, melrose park,2283,22, turnbull place, , 07 02598871,6080461
,,,,,,,,,,,,,,
   ind, f,31,19851227, , savannah, surpur, nsw, macquarie hills,3363,9, cossington smith crescent, , 612 85309104,4509315
,,,,,,,,,,,,,,
   usa, f, ,19110409, , olivia, goodwin, wa, thornlie,2705,118, dewar place, , 04 84870463,2263692
,,,,,,,,,,,,,,
   usa, f,8, , ms, georgia, hurst, sa, st kilda east,4053,1, derrington crescent, bowillia court, 07 85428790,2585787
,,,,,,,,,,,,,,
   usa, m,34,19820320, mr, max, frazier, nsw, bibbenluke,2303,14, elyard place, , 02 75932482,8297143
,,,,,,,,,,,,,,
   usa, ,10,20061207, , jayden, valencia, vic, invermay,2304,4, mills street, , 08 74279271,8683606
,,,,,,,,,,,,,,
   usa, f,28,19880706, , georgia, stewart, , pooraka,2614,29, johnstone circuit, barkool, 02 25632739,9761803
,,,,,,,,,,,,,,
   , f,23, , , isabella, wilde, act, macquarie,5020,42, mirbelia crescent, , 02 73795207,3695259
,,,,,,,,,,,,,,
   rom, m,33,19831221, hon, zachary, popa, nsw, lower templestowe,2298,10, hedley street, glenlofty, 2 98028268,1190494
,,,,,,,,,,,,,,
   eng, f,32,19841128, , connor, tracy, qld, birkdale,2061,22, baynton street, , 613 17970513,8673728
,,,,,,,,,,,,,,
   chi, f,31,19851221, , max, ge, sa, panorama,5700,13, duffy street, , 07 63618572,6950980
,,,,,,,,,,,,,,
   ind, f,32,19840125, , bailey, ramana, qld, pomona,3029,7, hourigan place, , 613 87161647,3167218
,,,,,,,,,,,,,,
   dan, m,32,19840219, mr, mitchell, hamburger, nsw, sebastopol,3178,2, crozier circuit, wychwood, 2 64819632,2387143
,,,,,,,,,,,,,,
   ind, f,30,19860218, , jack, hemnani, nt, east point,2103,13, theodore street, alcarana, 613 20937767,8333156
,,,,,,,,,,,,,,
   eng, f,8,20080306, , jacob, hope, nsw, lakesland,6156,16, noakes court, , 04 60016015,5153204
,,,,,,,,,,,,,,
   chi, f,30,19860824, , sophie, ssutu, nt, casuarina,5173,319, stieglitz circuit, , 03 93098660,5223300
,,,,,,,,,,,,,,
   eng, ,2,20141030, , luke, st, vic, eagle point,5068,14, powell street, , 08 74124519,7942017
,,,,,,,,,,,,,,
   eng, ,37,19790202, , chevonne, ibbott, nsw, lower portland,2262,97, gaunson crescent, , 02 33604322,2092650
,,,,,,,,,,,,,,
   unk, f,30,19860901, , oliver, aballon, nsw, tura beach,2518,47, wilhelmi crescent, , 08 57279577,1043869
,,,,,,,,,,,,,,
   eng, f,23,19930511, dr, emiily, christenson, wa, palmer,6167,35, , , 618 15365265,7792643
,,,,,,,,,,,,,,
   eng, f, ,19070806, pfc, james, hardie, , willetton,4053,15, kosciusko avenue, rowethorpe trinity hostel, ,2120197
,,,,,,,,,,,,,,
   eng, m, ,19671120, ms, gregory, hermanson, sa, murray bridge,6166,10, pennington crescent, , 07 59732424,4217968
,,,,,,,,,,,,,,
   usa, m,32,19841220, , hannah, blevins, vic, kolora,3713,66, harry hopman circuit, belgary, 618 57391550,3347515
,,,,,,,,,,,,,,
   eng, f,28,19881212, , harry, sauvage, vic, heathcote junction,2117,9, carr crescent, allambee reserve, 618 59349738,6535295
,,,,,,,,,,,,,,
   usa, ,24,19920325, , jack, harris, tas, barrington,2107,187, hindmarsh drive, , 7 13525423,8630058
,,,,,,,,,,,,,,
   eng, f,38, , , braedon, winterbottom, nsw, kendall,4825,33, buntine crescent, , 2 15749907,1547109
,,,,,,,,,,,,,,
   unk, , ,19500324, , tyler, abat, qld, currumbin,4719,1, service street, villa 2, 3 60410015,1189064
,,,,,,,,,,,,,,
   usa, ,28,19880516, ms, bridget, barron, vic, essendon west,2170,4, lupus place, , 08 39021075,4161979
,,,,,,,,,,,,,,
   por, , ,19350604, mr, , musrri, nsw, ,3126,28, thornhill crescent, , ,7752418
,,,,,,,,,,,,,,
   usa, f,23,19930630, , caitlin, barber, vic, waubra,2528,1, percival street, sorrento, 8 69492477,9759441
,,,,,,,,,,,,,,
   sri, f,34,19821130, ms, emiily, atapattu, nsw, daroobalgie,4871,79, dennis street, , 2 91008911,5609689
,,,,,,,,,,,,,,
   usa, f,32,19840113, , philip, blevins, vic, somerton,6110,8, pennefather street, , 08 66790465,7042743
,,,,,,,,,,,,,,
   afg, f,32,19840924, , dale, barakzai, nsw, pillar valley,4303,72, davice place, ben hill, 2 41515905,6125943
,,,,,,,,,,,,,,
   chi, f,29,19871220, , koben, xia, , proston,6210,31, grace place, , 02 03957126,2822186
,,,,,,,,,,,,,,
   unk, , , , , samantha, strahn, wa, karranadgin,3220,22, alfred hill drive, , 8 72133247,5947329
,,,,,,,,,,,,,,
   ind, f,28,19880415, ms, luke, kampan, nsw, strathfield,6230,12, , , 612 53647629,3313724
,,,,,,,,,,,,,,
   eng, , ,19900930, pfc, kynan, mayes, nsw, mclaren vale,2745,12, pearson place, the meadows, 02 26345154,3017418
,,,,,,,,,,,,,,
   usa, f,31,19850422, , brooklyn, mason, qld, kurumbul,3181,47, oldham court, ballina, 613 28035535,7053371
,,,,,,,,,,,,,,
   chi, f,29,19870110, , eva, nip, vic, hinchinbrook,3175,39, bow place, , 618 02175044,7217342
,,,,,,,,,,,,,,
   chi, m,27,19890303, mr, zachariah, wu, qld, newstead,5083,45, skinner street, , 613 82081605,9561204
,,,,,,,,,,,,,,
   eng, ,43,19730212, mr, kiera, deadman, nsw, edith,3076,12, mirrabucca crescent, , 2 98251935,1063608
,,,,,,,,,,,,,,
   jap, m,33,19830319, ms, henry, taguchi, nsw, howlong,3216,48, melrose drive, willaroo, 612 33427454,4294849
,,,,,,,,,,,,,,
   eng, f,35,19810822, , nicole, earls, nsw, ,2320,7, strachan place, , 612 28563568,7693608
,,,,,,,,,,,,,,
   usa, f,26,19900526, ms, , workman, nsw, naremburn,2303,25, grayson street, bosmit, 612 20856510,1754010
,,,,,,,,,,,,,,
   unk, ,31,19851008, ms, gus, aaternir, vic, nyah west,6005,6, lubuma place, westminster place, 618 28229358,1780100
,,,,,,,,,,,,,,
   unk, f,28,19881103, , isabella, , qld, north deep creek,6051,16, evelyn owen crescent, bungarra, 03 68583573,7459625
,,,,,,,,,,,,,,
   ind, ,23,19931015, , hannah, chandran, nsw, bellevue hill,4655,16, o'connor circuit, , 03 74175819,5964234
,,,,,,,,,,,,,,
   unk, f,32,19841006, , connor, abbondandola, , oak park,7006,20, selwyn street, , 07 22687011,6921225
,,,,,,,,,,,,,,
   fre, f,24,19921003, , emiily, picotin, qld, eagle farm,4871,15, connell place, , 3 57214270,2531459
,,,,,,,,,,,,,,
   usa, ,37,19790606, , anton, newman, nsw, kew,810,21, miago court, , 612 79899628,3150073
,,,,,,,,,,,,,,
   unk, m,36,19801009, col, mitchell, abadi, nsw, bakers swamp,4173,15, , g i brahman stud, ,8359872
,,,,,,,,,,,,,,
   unk, m,35,19810831, , isabelle, aarnoudse, vic, metung,2850,103, fox place, , 8 20052227,4750738
,,,,,,,,,,,,,,
   wel, ,10,20061210, , courtney, , vic, nirranda,2171,45, welsh place, , 618 07287281,1312508
,,,,,,,,,,,,,,
   por, f,32,19840410, , joshua, travassos, nsw, torrington,2640,4, pelham close, elston, 02 50038104,4788059
,,,,,,,,,,,,,,
   sri, ,31, , ms, jordan, leelani?, wa, kinross,5153,23, osmand street, tora, 07 34528023,8941510
,,,,,,,,,,,,,,
   ita, m,34,19820908, ms, kaitlin, fisichella, vic, yambuna,2371,54, gurubun close, , 618 17649945,6988929
,,,,,,,,,,,,,,
   ger, f,32,19840610, , emiily, wiens, vic, corio,2334,128, chuculba crescent, , 08 55829866,3946600
,,,,,,,,,,,,,,
   dut, m,34,19820119, , spencer, gurtrich, tas, collie,2615,13, brodribb street, , 7 13104324,6780924
,,,,,,,,,,,,,,
 usa, f,37,19790210, , jack, roth, qkd, whitsundays,2046,10, wybalena grove, , 613 08152152,4244859
,,,,,,,,,,,,,,
   unk, ,29,19871204, ms, catherine, scjum, nsw, somersby,4011,4, olney place, , 612 70473314,4933897
,,,,,,,,,,,,,,
   eng, f, ,19440604, ms, carlin, ethans, vic, wendouree village,3919,28, ferguson place, , 618 04068454,3651457
,,,,,,,,,,,,,,
